tempo_ms,angulo_deg,u_pct,referencia
10,0.00,26.22,45.00
20,-0.01,26.64,45.00
30,-0.01,26.99,45.00
40,-0.02,27.34,45.00
50,-0.04,27.71,45.00
60,-0.05,28.06,45.00
70,-0.07,28.44,45.00
80,-0.10,28.81,45.00
90,-0.12,29.19,45.00
100,-0.14,29.32,45.00
110,-0.15,29.59,45.00
120,-0.17,29.87,45.00
130,-0.18,30.12,45.00
140,-0.18,30.38,45.00
150,-0.19,30.62,45.00
160,-0.18,30.71,45.00
170,-0.17,30.86,45.00
180,-0.15,30.99,45.00
190,-0.12,31.09,45.00
200,-0.08,31.20,45.00
210,-0.03,31.29,45.00
220,0.02,31.36,45.00
230,0.09,31.43,45.00
240,0.17,31.48,45.00
250,0.25,31.51,45.00
260,0.35,31.53,45.00
270,0.46,31.53,45.00
280,0.58,31.53,45.00
290,0.72,31.52,45.00
300,0.86,31.50,45.00
310,1.02,31.48,45.00
320,1.18,31.45,45.00
330,1.36,31.41,45.00
340,1.55,31.36,45.00
350,1.75,31.31,45.00
360,1.96,31.25,45.00
370,2.19,31.18,45.00
380,2.42,31.12,45.00
390,2.67,31.05,45.00
400,2.92,30.98,45.00
410,3.18,30.90,45.00
420,3.46,30.82,45.00
430,3.74,30.75,45.00
440,4.04,30.67,45.00
450,4.34,30.59,45.00
460,4.65,30.51,45.00
470,4.97,30.43,45.00
480,5.29,30.35,45.00
490,5.62,30.28,45.00
500,5.96,30.20,45.00
510,6.31,30.13,45.00
520,6.66,30.06,45.00
530,7.02,30.00,45.00
540,7.39,29.93,45.00
550,7.75,29.87,45.00
560,8.13,29.82,45.00
570,8.50,29.77,45.00
580,8.88,29.72,45.00
590,9.26,29.68,45.00
600,9.65,29.64,45.00
610,10.04,29.61,45.00
620,10.42,29.58,45.00
630,10.81,29.56,45.00
640,11.21,29.55,45.00
650,11.60,29.54,45.00
660,11.99,29.54,45.00
670,12.38,29.54,45.00
680,12.77,29.55,45.00
690,13.15,29.57,45.00
700,13.54,29.59,45.00
710,13.92,29.62,45.00
720,14.31,29.65,45.00
730,14.68,29.69,45.00
740,15.06,29.74,45.00
750,15.43,29.79,45.00
760,15.80,29.86,45.00
770,16.16,29.92,45.00
780,16.52,30.00,45.00
790,16.88,30.08,45.00
800,17.22,30.16,45.00
810,17.57,30.25,45.00
820,17.91,30.35,45.00
830,18.24,30.46,45.00
840,18.56,30.57,45.00
850,18.88,30.68,45.00
860,19.20,30.81,45.00
870,19.50,30.93,45.00
880,19.80,31.06,45.00
890,20.09,31.20,45.00
900,20.38,31.34,45.00
910,20.66,31.49,45.00
920,20.93,31.64,45.00
930,21.19,31.80,45.00
940,21.45,31.96,45.00
950,21.70,32.12,45.00
960,21.94,32.29,45.00
970,22.17,32.46,45.00
980,22.39,32.64,45.00
990,22.61,32.82,45.00
1000,22.82,33.00,45.00
1010,23.02,33.18,45.00
1020,23.22,33.37,45.00
1030,23.40,33.56,45.00
1040,23.58,33.75,45.00
1050,23.75,33.94,45.00
1060,23.92,34.13,45.00
1070,24.07,34.33,45.00
1080,24.22,34.53,45.00
1090,24.37,34.72,45.00
1100,24.50,34.92,45.00
1110,24.63,35.12,45.00
1120,24.75,35.31,45.00
1130,24.87,35.51,45.00
1140,24.98,35.71,45.00
1150,25.08,35.91,45.00
1160,25.18,36.10,45.00
1170,25.27,36.29,45.00
1180,25.35,36.49,45.00
1190,25.43,36.68,45.00
1200,25.51,36.87,45.00
1210,25.58,37.06,45.00
1220,25.64,37.24,45.00
1230,25.71,37.42,45.00
1240,25.76,37.61,45.00
1250,25.82,37.78,45.00
1260,25.86,37.96,45.00
1270,25.91,38.13,45.00
1280,25.95,38.30,45.00
1290,25.99,38.46,45.00
1300,26.03,38.62,45.00
1310,26.06,38.78,45.00
1320,26.09,38.94,45.00
1330,26.12,39.09,45.00
1340,26.15,39.23,45.00
1350,26.17,39.38,45.00
1360,26.20,39.51,45.00
1370,26.22,39.65,45.00
1380,26.24,39.78,45.00
1390,26.27,39.90,45.00
1400,26.29,40.02,45.00
1410,26.31,40.14,45.00
1420,26.33,40.25,45.00
1430,26.35,40.36,45.00
1440,26.37,40.46,45.00
1450,26.39,40.56,45.00
1460,26.42,40.65,45.00
1470,26.44,40.74,45.00
1480,26.47,40.83,45.00
1490,26.49,40.91,45.00
1500,26.52,40.98,45.00
1510,26.55,41.05,45.00
1520,26.58,41.12,45.00
1530,26.62,41.18,45.00
1540,26.65,41.24,45.00
1550,26.69,41.30,45.00
1560,26.73,41.35,45.00
1570,26.78,41.39,45.00
1580,26.82,41.44,45.00
1590,26.87,41.47,45.00
1600,26.92,41.51,45.00
1610,26.98,41.54,45.00
1620,27.03,41.57,45.00
1630,27.09,41.60,45.00
1640,27.16,41.62,45.00
1650,27.22,41.64,45.00
1660,27.29,41.65,45.00
1670,27.36,41.67,45.00
1680,27.44,41.68,45.00
1690,27.52,41.69,45.00
1700,27.60,41.69,45.00
1710,27.68,41.70,45.00
1720,27.77,41.70,45.00
1730,27.86,41.70,45.00
1740,27.96,41.70,45.00
1750,28.05,41.69,45.00
1760,28.15,41.69,45.00
1770,28.25,41.68,45.00
1780,28.36,41.68,45.00
1790,28.47,41.67,45.00
1800,28.58,41.66,45.00
1810,28.69,41.65,45.00
1820,28.81,41.64,45.00
1830,28.93,41.63,45.00
1840,29.05,41.62,45.00
1850,29.17,41.61,45.00
1860,29.30,41.60,45.00
1870,29.43,41.58,45.00
1880,29.55,41.57,45.00
1890,29.69,41.56,45.00
1900,29.82,41.55,45.00
1910,29.95,41.54,45.00
1920,30.09,41.53,45.00
1930,30.23,41.52,45.00
1940,30.37,41.51,45.00
1950,30.51,41.50,45.00
1960,30.65,41.50,45.00
1970,30.79,41.49,45.00
1980,30.93,41.49,45.00
1990,31.08,41.48,45.00
2000,31.22,41.48,45.00
2010,31.37,41.48,45.00
2020,31.51,41.48,45.00
2030,31.66,41.48,45.00
2040,31.80,41.48,45.00
2050,31.95,41.48,45.00
2060,32.09,41.49,45.00
2070,32.24,41.49,45.00
2080,32.38,41.50,45.00
2090,32.53,41.51,45.00
2100,32.67,41.52,45.00
2110,32.81,41.54,45.00
2120,32.95,41.55,45.00
2130,33.10,41.57,45.00
2140,33.24,41.58,45.00
2150,33.37,41.60,45.00
2160,33.51,41.62,45.00
2170,33.65,41.64,45.00
2180,33.78,41.67,45.00
2190,33.92,41.69,45.00
2200,34.05,41.72,45.00
2210,34.18,41.74,45.00
2220,34.31,41.77,45.00
2230,34.44,41.80,45.00
2240,34.56,41.83,45.00
2250,34.69,41.87,45.00
2260,34.81,41.90,45.00
2270,34.93,41.94,45.00
2280,35.05,41.97,45.00
2290,35.17,42.01,45.00
2300,35.28,42.05,45.00
2310,35.39,42.09,45.00
2320,35.50,42.13,45.00
2330,35.61,42.17,45.00
2340,35.72,42.21,45.00
2350,35.82,42.26,45.00
2360,35.92,42.30,45.00
2370,36.02,42.35,45.00
2380,36.12,42.39,45.00
2390,36.22,42.44,45.00
2400,36.31,42.49,45.00
2410,36.40,42.53,45.00
2420,36.49,42.58,45.00
2430,36.58,42.63,45.00
2440,36.66,42.68,45.00
2450,36.75,42.73,45.00
2460,36.83,42.78,45.00
2470,36.91,42.82,45.00
2480,36.98,42.87,45.00
2490,37.06,42.92,45.00
2500,37.13,42.97,45.00
2510,37.20,43.02,45.00
2520,37.27,43.07,45.00
2530,37.34,43.12,45.00
2540,37.40,43.17,45.00
2550,37.47,43.22,45.00
2560,37.53,43.27,45.00
2570,37.59,43.31,45.00
2580,37.65,43.36,45.00
2590,37.70,43.41,45.00
2600,37.76,43.46,45.00
2610,37.81,43.50,45.00
2620,37.86,43.55,45.00
2630,37.92,43.59,45.00
2640,37.97,43.64,45.00
2650,38.01,43.68,45.00
2660,38.06,43.72,45.00
2670,38.11,43.77,45.00
2680,38.15,43.81,45.00
2690,38.20,43.85,45.00
2700,38.24,43.89,45.00
2710,38.28,43.93,45.00
2720,38.32,43.97,45.00
2730,38.36,44.00,45.00
2740,38.40,44.04,45.00
2750,38.44,44.08,45.00
2760,38.48,44.11,45.00
2770,38.52,44.15,45.00
2780,38.55,44.18,45.00
2790,38.59,44.21,45.00
2800,38.63,44.24,45.00
2810,38.66,44.27,45.00
2820,38.70,44.30,45.00
2830,38.73,44.33,45.00
2840,38.77,44.36,45.00
2850,38.80,44.39,45.00
2860,38.84,44.41,45.00
2870,38.87,44.44,45.00
2880,38.90,44.46,45.00
2890,38.94,44.48,45.00
2900,38.97,44.51,45.00
2910,39.00,44.53,45.00
2920,39.04,44.55,45.00
2930,39.07,44.57,45.00
2940,39.10,44.59,45.00
2950,39.14,44.60,45.00
2960,39.17,44.62,45.00
2970,39.21,44.64,45.00
2980,39.24,44.65,45.00
2990,39.27,44.67,45.00
3000,39.31,44.68,45.00
3010,39.34,44.69,45.00
3020,39.38,44.71,45.00
3030,39.41,44.72,45.00
3040,39.45,44.73,45.00
3050,39.48,44.74,45.00
3060,39.52,44.75,45.00
3070,39.56,44.76,45.00
3080,39.59,44.77,45.00
3090,39.63,44.78,45.00
3100,39.67,44.79,45.00
3110,39.70,44.80,45.00
3120,39.74,44.80,45.00
3130,39.78,44.81,45.00
3140,39.82,44.82,45.00
3150,39.86,44.82,45.00
3160,39.89,44.83,45.00
3170,39.93,44.83,45.00
3180,39.97,44.84,45.00
3190,40.01,44.84,45.00
3200,40.05,44.85,45.00
3210,40.09,44.85,45.00
3220,40.13,44.86,45.00
3230,40.17,44.86,45.00
3240,40.21,44.87,45.00
3250,40.26,44.87,45.00
3260,40.30,44.87,45.00
3270,40.34,44.88,45.00
3280,40.38,44.88,45.00
3290,40.42,44.89,45.00
3300,40.46,44.89,45.00
3310,40.51,44.89,45.00
3320,40.55,44.90,45.00
3330,40.59,44.90,45.00
3340,40.63,44.90,45.00
3350,40.67,44.91,45.00
3360,40.72,44.91,45.00
3370,40.76,44.92,45.00
3380,40.80,44.92,45.00
3390,40.84,44.92,45.00
3400,40.88,44.93,45.00
3410,40.93,44.93,45.00
3420,40.97,44.94,45.00
3430,41.01,44.94,45.00
3440,41.05,44.95,45.00
3450,41.09,44.95,45.00
3460,41.13,44.96,45.00
3470,41.17,44.96,45.00
3480,41.21,44.97,45.00
3490,41.26,44.98,45.00
3500,41.30,44.98,45.00
3510,41.34,44.99,45.00
3520,41.38,45.00,45.00
3530,41.42,45.00,45.00
3540,41.45,45.01,45.00
3550,41.49,45.02,45.00
3560,41.53,45.02,45.00
3570,41.57,45.03,45.00
3580,41.61,45.04,45.00
3590,41.65,45.05,45.00
3600,41.68,45.05,45.00
3610,41.72,45.06,45.00
3620,41.76,45.07,45.00
3630,41.79,45.08,45.00
3640,41.83,45.09,45.00
3650,41.86,45.10,45.00
3660,41.90,45.11,45.00
3670,41.93,45.12,45.00
3680,41.97,45.13,45.00
3690,42.00,45.14,45.00
3700,42.03,45.15,45.00
3710,42.06,45.16,45.00
3720,42.10,45.17,45.00
3730,42.13,45.18,45.00
3740,42.16,45.19,45.00
3750,42.19,45.20,45.00
3760,42.22,45.21,45.00
3770,42.25,45.22,45.00
3780,42.28,45.23,45.00
3790,42.31,45.24,45.00
3800,42.34,45.25,45.00
3810,42.36,45.26,45.00
3820,42.39,45.27,45.00
3830,42.42,45.28,45.00
3840,42.44,45.29,45.00
3850,42.47,45.30,45.00
3860,42.50,45.31,45.00
3870,42.52,45.33,45.00
3880,42.55,45.34,45.00
3890,42.57,45.35,45.00
3900,42.59,45.36,45.00
3910,42.62,45.37,45.00
3920,42.64,45.38,45.00
3930,42.66,45.39,45.00
3940,42.69,45.40,45.00
3950,42.71,45.41,45.00
3960,42.73,45.42,45.00
3970,42.75,45.43,45.00
3980,42.77,45.44,45.00
3990,42.79,45.45,45.00
4000,42.81,45.46,45.00
4010,42.83,45.48,45.00
4020,42.85,45.49,45.00
4030,42.87,45.50,45.00
4040,42.89,45.51,45.00
4050,42.90,45.51,45.00
4060,42.92,45.52,45.00
4070,42.94,45.53,45.00
4080,42.96,45.54,45.00
4090,42.97,45.55,45.00
4100,42.99,45.56,45.00
4110,43.01,45.57,45.00
4120,43.02,45.58,45.00
4130,43.04,45.59,45.00
4140,43.06,45.60,45.00
4150,43.07,45.60,45.00
4160,43.09,45.61,45.00
4170,43.10,45.62,45.00
4180,43.12,45.63,45.00
4190,43.13,45.64,45.00
4200,43.15,45.64,45.00
4210,43.16,45.65,45.00
4220,43.17,45.66,45.00
4230,43.19,45.66,45.00
4240,43.20,45.67,45.00
4250,43.22,45.68,45.00
4260,43.23,45.69,45.00
4270,43.24,45.69,45.00
4280,43.26,45.70,45.00
4290,43.27,45.70,45.00
4300,43.28,45.71,45.00
4310,43.30,45.72,45.00
4320,43.31,45.72,45.00
4330,43.32,45.73,45.00
4340,43.34,45.73,45.00
4350,43.35,45.74,45.00
4360,43.36,45.74,45.00
4370,43.37,45.75,45.00
4380,43.39,45.75,45.00
4390,43.40,45.76,45.00
4400,43.41,45.76,45.00
4410,43.42,45.76,45.00
4420,43.44,45.77,45.00
4430,43.45,45.77,45.00
4440,43.46,45.78,45.00
4450,43.47,45.78,45.00
4460,43.48,45.78,45.00
4470,43.50,45.79,45.00
4480,43.51,45.79,45.00
4490,43.52,45.80,45.00
4500,43.53,45.80,45.00
4510,43.55,45.80,45.00
4520,43.56,45.81,45.00
4530,43.57,45.81,45.00
4540,43.58,45.81,45.00
4550,43.59,45.81,45.00
4560,43.61,45.82,45.00
4570,43.62,45.82,45.00
4580,43.63,45.82,45.00
4590,43.64,45.83,45.00
4600,43.65,45.83,45.00
4610,43.66,45.83,45.00
4620,43.68,45.83,45.00
4630,43.69,45.84,45.00
4640,43.70,45.84,45.00
4650,43.71,45.84,45.00
4660,43.72,45.84,45.00
4670,43.73,45.85,45.00
4680,43.75,45.85,45.00
4690,43.76,45.85,45.00
4700,43.77,45.85,45.00
4710,43.78,45.85,45.00
4720,43.79,45.86,45.00
4730,43.80,45.86,45.00
4740,43.82,45.86,45.00
4750,43.83,45.86,45.00
4760,43.84,45.87,45.00
4770,43.85,45.87,45.00
4780,43.86,45.87,45.00
4790,43.87,45.87,45.00
4800,43.88,45.87,45.00
4810,43.89,45.88,45.00
4820,43.90,45.88,45.00
4830,43.92,45.88,45.00
4840,43.93,45.88,45.00
4850,43.94,45.89,45.00
4860,43.95,45.89,45.00
4870,43.96,45.89,45.00
4880,43.97,45.89,45.00
4890,43.98,45.89,45.00
4900,43.99,45.90,45.00
4910,44.00,45.90,45.00
4920,44.01,45.90,45.00
4930,44.02,45.90,45.00
4940,44.03,45.91,45.00
4950,44.04,45.91,45.00
4960,44.05,45.91,45.00
4970,44.06,45.91,45.00
4980,44.07,45.91,45.00
4990,44.08,45.92,45.00
5000,44.09,46.82,45.00
5010,44.10,47.34,32.56
5020,44.11,47.82,32.74
5030,44.12,48.25,32.92
5040,44.13,48.63,33.11
5050,44.14,48.99,33.30
5060,44.15,49.31,33.50
5070,44.16,49.59,33.70
5080,44.17,49.77,33.90
5090,44.19,49.87,34.11
5100,44.21,49.90,34.31
5110,44.23,49.89,34.52
5120,44.25,49.85,34.74
5130,44.28,49.80,34.96
5140,44.31,49.75,35.17
5150,44.35,49.63,35.40
5160,44.39,49.51,35.62
5170,44.43,49.39,35.85
5180,44.48,49.29,36.08
5190,44.53,49.18,36.31
5200,44.59,49.09,36.54
5210,44.66,49.02,36.78
5220,44.72,48.95,37.02
5230,44.80,48.90,37.26
5240,44.87,48.86,37.50
5250,44.96,48.83,37.74
5260,45.05,48.80,37.98
5270,45.14,48.77,38.23
5280,45.23,48.74,38.48
5290,45.34,48.70,38.72
5300,45.44,48.65,38.97
5310,45.55,48.60,39.22
5320,45.66,48.53,39.47
5330,45.78,48.45,39.73
5340,45.90,48.35,39.98
5350,46.03,48.25,40.23
5360,46.16,48.13,40.48
5370,46.29,48.01,40.74
5380,46.42,47.89,40.99
5390,46.56,47.79,41.24
5400,46.70,47.71,41.49
5410,46.85,47.63,41.75
5420,46.99,47.56,42.00
5430,47.14,47.49,42.25
5440,47.29,47.43,42.50
5450,47.44,47.38,42.75
5460,47.59,47.33,43.00
5470,47.75,47.29,43.25
5480,47.90,47.25,43.50
5490,48.06,47.22,43.74
5500,48.21,47.17,43.99
5510,48.37,47.13,44.23
5520,48.52,47.09,44.47
5530,48.68,47.05,44.71
5540,48.83,47.00,44.95
5550,48.99,46.96,45.19
5560,49.14,46.91,45.42
5570,49.29,46.87,45.65
5580,49.45,46.82,45.88
5590,49.60,46.78,46.11
5600,49.75,46.74,46.33
5610,49.89,46.71,46.55
5620,50.04,46.69,46.77
5630,50.18,46.66,46.99
5640,50.32,46.65,47.20
5650,50.46,46.63,47.41
5660,50.60,46.62,47.62
5670,50.73,46.60,47.82
5680,50.87,46.59,48.02
5690,50.99,46.57,48.22
5700,51.12,46.56,48.41
5710,51.24,46.54,48.60
5720,51.36,46.52,48.78
5730,51.48,46.50,48.96
5740,51.59,46.48,49.14
5750,51.70,46.47,49.31
5760,51.81,46.46,49.48
5770,51.91,46.45,49.64
5780,52.01,46.45,49.80
5790,52.11,46.45,49.96
5800,52.20,46.45,50.11
5810,52.29,46.45,50.26
5820,52.37,46.45,50.40
5830,52.45,46.44,50.53
5840,52.52,46.43,50.67
5850,52.60,46.42,50.79
5860,52.66,46.40,50.91
5870,52.73,46.37,51.03
5880,52.79,46.35,51.14
5890,52.84,46.31,51.25
5900,52.89,46.28,51.35
5910,52.94,46.24,51.44
5920,52.98,46.20,51.53
5930,53.02,46.16,51.62
5940,53.05,46.12,51.69
5950,53.08,46.07,51.77
5960,53.11,46.02,51.83
5970,53.13,45.98,51.90
5980,53.14,45.94,51.95
5990,53.16,45.90,52.00
6000,53.16,45.88,52.05
6010,53.16,45.86,52.09
6020,53.16,45.84,52.12
6030,53.16,45.82,52.14
6040,53.14,45.81,52.17
6050,53.13,45.79,52.18
6060,53.11,45.76,52.19
6070,53.08,45.73,52.19
6080,53.05,45.70,52.19
6090,53.02,45.66,52.18
6100,52.98,45.61,52.17
6110,52.93,45.55,52.15
6120,52.88,45.48,52.12
6130,52.83,45.40,52.09
6140,52.77,45.32,52.05
6150,52.71,45.23,52.00
6160,52.64,45.15,51.95
6170,52.57,45.06,51.90
6180,52.49,44.99,51.83
6190,52.41,44.92,51.77
6200,52.32,44.86,51.69
6210,52.23,44.81,51.61
6220,52.13,44.76,51.53
6230,52.03,44.71,51.43
6240,51.93,44.67,51.34
6250,51.82,44.63,51.23
6260,51.70,44.59,51.13
6270,51.58,44.55,51.01
6280,51.45,44.51,50.89
6290,51.32,44.46,50.77
6300,51.19,44.42,50.64
6310,51.05,44.38,50.50
6320,50.90,44.33,50.36
6330,50.75,44.28,50.21
6340,50.59,44.24,50.06
6350,50.43,44.19,49.91
6360,50.27,44.14,49.74
6370,50.10,44.09,49.58
